South Dakota State University,#202,92
University of Alaska--Fairbanks,#202,73
University of North Carolina--Charlotte,#202,63
University of North Dakota,#202,82
University of South Dakota,#202,74
East Carolina University,#210,69
Montana State University,#210,83
Old Dominion University,#210,83
University of Missouri--Kansas City,#210,63
Ashland University,#214,74
Dallas Baptist University,#214,42
Northern Illinois University,#214,50
Nova Southeastern University,#214,59
Southern Illinois University--Carbondale,#214,81
University of Montana,#214,92
Benedictine University,#220,79
California State University--Fresno,#220,52
Gardner-Webb University,#220,79
New Mexico State University,#220,65
Shenandoah University,#220,82
Tennessee Technological University,#220,68
University of Massachusetts--Boston,#220,69
University of Massachusetts--Dartmouth,#220,76
University of Missouri--St. Louis,#220,76
University of North Carolina--Greensboro,#220,59
University of Southern Mississippi,#220,58
Utah State University,#220,97
American International College,RNP,64
Augusta University,RNP,74
Barry University,RNP,55
Boise State University,RNP,80
Cardinal Stritch University,RNP,77
Clark Atlanta University,RNP,52
Cleveland State University,RNP,91
Eastern Michigan University,RNP,75
East Tennessee State University,RNP,79
Florida A&M University,RNP,51
Florida Atlantic University,RNP,68
Florida International University,RNP,50
Georgia Southern University,RNP,60
Georgia State University,RNP,58
Grand Canyon University,RNP,58
Indiana State University,RNP,85
Indiana University of Pennsylvania,RNP,88
Jackson State University,RNP,68
Kennesaw State University,RNP,59
Lamar University,RNP,79
Liberty University,RNP,21
Lindenwood University,RNP,55
Middle Tennessee State University,RNP,73
Morgan State University,RNP,67
National Louis University,RNP,81
North Carolina A&T State University,RNP,59
Northern Arizona University,RNP,77
Oakland University,RNP,80
Portland State University,RNP,86
Prairie View A&M University,RNP,86
Regent University,RNP,86
Sam Houston State University,RNP,73
San Francisco State University,RNP,68
Spalding University,RNP,46
Tennessee State University,RNP,53
Texas A&M University--Commerce,RNP,47
Texas A&M University--Corpus Christi,RNP,84
Texas A&M University--Kingsville,RNP,82
Texas Southern University,RNP,51
Texas State University,RNP,71
Texas Woman's University,RNP,75
Trevecca Nazarene University,RNP,73
Trinity International University,RNP,96
University of Akron,RNP,97
University of Arkansas--Little Rock,RNP,68
University of Louisiana--Lafayette,RNP,55
University of Louisiana--Monroe,RNP,94
University of Maryland--Eastern Shore,RNP,49
University of Memphis,RNP,92
University of Nebraska--Omaha,RNP,76
University of Nevada--Las Vegas,RNP,88
University of New Orleans,RNP,58
University of Northern Colorado,RNP,89
University of North Texas,RNP,70
University of South Alabama,RNP,78
University of Texas--Arlington,RNP,64
University of Texas--El Paso,RNP,100
University of Texas--San Antonio,RNP,78
University of the Cumberlands,RNP,68
University of Toledo,RNP,93
University of West Florida,RNP,42
University of West Georgia,RNP,57
University of Wisconsin--Milwaukee,RNP,73
Valdosta State University,RNP,50
Wayne State University,RNP,80
Wichita State University,RNP,95
Wright State University,RNP,96
Alliant International University,Unranked,
Argosy University,Unranked,
California Institute of Integral Studies,Unranked,
Capella University,Unranked,
Idaho State University,Unranked,
Northcentral University,Unranked,
Trident University International,Unranked,
Union Institute and University,Unranked,
University of Phoenix,Unranked,
University of Texas--Rio Grande Valley,Unranked,
Walden University,Unranked,
Wilmington University,Unranked,100
